text,intent
"hey support, end my contract early",cancellation
"for my business line, DNS not resolving",tech_support
"in Australia/Sydney, port my number to your network",new_connection
my internet is down,outage_report
add data pack,recharge_topup
no signal in my area,outage_report
my router keeps rebooting,tech_support
setup help for new modem please,tech_support
"for my business line, can't pair the modem",tech_support
I want to terminate the service,cancellation
urgent: APN settings not working,tech_support
can you help: change service address,move_house
question about my account: I want to quit the service,cancellation
activate data add-on,recharge_topup
"for my business line, APN settings not working",tech_support
"for my home internet, DNS not resolving",tech_support
"agent transferred me here, set up a new broadband plan",new_connection
no signal in my area please,outage_report
need breakdown of last bill please,billing_issue
question about my account: no dial tone on landline,tech_support
urgent: how to get a new connection,new_connection
"in Australia/Sydney, packet loss on video calls",tech_support
transfer my internet to new address,move_house
buy a new recharge voucher,recharge_topup
update address and move line please,move_house
discontinue my mobile line,cancellation
"in Australia/Sydney, why is my bill so high this month",billing_issue
urgent: order a fresh connection,new_connection
"voice menu couldn't help, no dial tone on landline",tech_support
need installation appointment,new_connection
"in Australia/Sydney, port out and cancel",cancellation
"for my business line, query charges on my invoice",billing_issue
"agent transferred me here, mobile data not working",outage_report
urgent: my router keeps rebooting,tech_support
"agent transferred me here, no signal in my area",outage_report
"for my home internet, shift my connection",move_house
recharge my prepaid please,recharge_topup
can you help: service interruption today,outage_report
how to get a new connection,new_connection
"for my business line, is there an outage near me",outage_report
"hey support, overbilled for data usage",billing_issue
late fee reversal request,billing_issue
"for my business line, service interruption today",outage_report
apply for a home internet service,new_connection
why is my bill so high this month,billing_issue
how to top up online please,recharge_topup
port out and cancel,cancellation
"for my home internet, close my account please",cancellation
urgent: purchase a recharge pack,recharge_topup
"agent transferred me here, sign me up for nbn",new_connection
"in Australia/Sydney, activate data add-on",recharge_topup
"in Australia/Sydney, port out and cancel",cancellation
is there an outage near me,outage_report
"in Australia/Sydney, what's the process to move service",move_house
"in Australia/Sydney, need installation appointment",new_connection
port my number to your network,new_connection
"for my business line, bill shows services I didn't use",billing_issue
"for my home internet, request cancellation",cancellation
"for my home internet, can't pair the modem",tech_support
"agent transferred me here, I'm moving house next week",move_house
book a relocation of nbn please,move_house
"for my home internet, recharge my prepaid",recharge_topup
sign me up for nbn please,new_connection
incorrect GST on my statement please,billing_issue
can you help: SIM not detected by phone,tech_support
"hey support, purchase a recharge pack",recharge_topup
